Song,True Class,Predicted Class,Prog Probability
1968_Steppenwolf_Born_To_Be_Wild,non-prog,non-prog,0.0468
Lizzo_Juice,non-prog,non-prog,0.0028
Collective Soul_The World I Know,non-prog,non-prog,0.0023
04 - Out Of The Blue,non-prog,non-prog,0.0486
(06) [Alice Cooper] No More Mr. Nice Guy,non-prog,non-prog,0.0705
01-Janitor Of Lunacy,non-prog,non-prog,0.0014
www.NewAlbumReleases.net_14 - Hyyerr (Fe...,non-prog,non-prog,0.0002
Disintegration-The Cure-09-The Same Deep...,non-prog,non-prog,0.0138
02 Peace Of Mind,non-prog,non-prog,0.0071
04 - Suspended in Gaffa,non-prog,non-prog,0.0112
04 - Vera,non-prog,non-prog,0.0886
slow thai Mura Masa - Doorman,non-prog,non-prog,0.0011
Green Day -07- Basket Case,non-prog,non-prog,0.0642
01-Light - Look At Your Sun,non-prog,non-prog,0.0114
02 - Someone In The Crowd,non-prog,non-prog,0.0726
1962_Ray_Charles_I_Can't_Stop_Loving_You,non-prog,non-prog,0.0022
Kid_Cudi_Frequency,non-prog,non-prog,0.0005
06 - Give It Up,non-prog,non-prog,0.001
Aphex Twin - Avril 14th,non-prog,non-prog,0.0055
07_Summoning Of The Muse,non-prog,non-prog,0.0091
Salif Keita - Cono,non-prog,non-prog,0.0059
1954_Rosemary_Clooney_Hey_There,non-prog,non-prog,0.0013
10 - 2000 Miles ,non-prog,non-prog,0.0292
01 - Mustt Mustt (Lost in His Work),non-prog,non-prog,0.0166
Neha_Kakkar_Yaad_Piya_Ki_Aane_Lagi,non-prog,non-prog,0.0114
22 Turn On The News,non-prog,non-prog,0.0454
01 - Only Shallow,non-prog,non-prog,0.0235
2008_Alicia_Keys_No_One,non-prog,non-prog,0.026
01.ArmenMiran-PreciousStory,non-prog,non-prog,0.001
Chase Atlantic - SLIDE (Official Music V...,non-prog,non-prog,0.0152
01 - I.G.Y.,non-prog,non-prog,0.0025
03 - No Doubt - Just a Girl,non-prog,non-prog,0.0148
08 - Damage Inc  (LP Version),non-prog,non-prog,0.0174
2022_Kendrick_Lamar_Beth_Gibbons_Mother_...,non-prog,non-prog,0.0233
1975_America_Sister_Golden_Hair,non-prog,non-prog,0.0143
07 Say It Ain't So,non-prog,non-prog,0.0054
01 - Harden My Heart,non-prog,non-prog,0.0564
02 - Adagio in C Minor,non-prog,non-prog,0.0097
01 - Autumn Lords,non-prog,non-prog,0.1627
13 Famous Last Words,non-prog,non-prog,0.0502
2015_Rihanna_FourFiveSeconds,non-prog,non-prog,0.0078
04 - Ted Just Admit it......,non-prog,non-prog,0.0371
Closer,non-prog,non-prog,0.0483
01_Surfing with the Alien,non-prog,non-prog,0.0261
101-led_zeppelin-immigrant_song,non-prog,non-prog,0.2077
03 Midnight At The Bazaar,non-prog,non-prog,0.0121
1967_The_Doors_Light_My_Fire,non-prog,non-prog,0.007
03 - The national anthem,non-prog,non-prog,0.2017
02 The World At Large,non-prog,non-prog,0.0563
05-bangles-hazy_shade_of_winter,non-prog,non-prog,0.0043
02 West End Girls,non-prog,non-prog,0.007
1974_Jackson_5_Dancing_Machine,non-prog,non-prog,0.02
1977_ABBA_Dancing_Queen,non-prog,non-prog,0.0092
2017_Migos_Bad_&_Boujee,non-prog,non-prog,0.0087
02 - Arc of a Diver,non-prog,non-prog,0.0075
06 - Janelle Monae - Cold War,non-prog,non-prog,0.0708
"13 - So Long, Farewell",non-prog,non-prog,0.0067
10-hozier-be-65228571,non-prog,non-prog,0.001
Julia-Michaels---Issues,non-prog,non-prog,0.0
01 - Under the Pressure,non-prog,non-prog,0.0515
Brockhampton_Buzzcut_feat_Danny_Brown,non-prog,non-prog,0.0263
1993_Snap_Rhythm_Is_A_Dancer,non-prog,non-prog,0.0239
1947_Francis_Craig_and_His_Orchestra_Nea...,non-prog,non-prog,0.0616
Peach_Pit_Almighty_Aphrodite,non-prog,non-prog,0.1489
04 The Unforgettable Fire,non-prog,non-prog,0.0917
03-the_strokes-brooklyn_bridge_to_chorus,non-prog,non-prog,0.1012
02 - Killer Queen,non-prog,non-prog,0.086
10 All Is Full Of Love,non-prog,non-prog,0.0045
09. Tel Aviv,non-prog,non-prog,0.013
2012_Taylor_Swift_We_Are_Never_Getting_B...,non-prog,non-prog,0.0006
Nena ‎- 99 Luftballons,non-prog,non-prog,0.0167
27.-The-Chainsmokers---Paris,non-prog,non-prog,0.027
05 Clocks,non-prog,non-prog,0.0065
Billie_Eilish_What_Was_I_Made_For,non-prog,non-prog,0.0024
Kind Of Blue-Miles Davis-02-Freddie Free...,non-prog,non-prog,0.0047
1949_Vaughan_Monroe_Riders_In_The_Sky,non-prog,non-prog,0.013
06-alone_again_or_320_lame_cbr,non-prog,non-prog,0.0367
Edgar_Winter_Frankenstein,non-prog,non-prog,0.1912
1945_Harry_James_and_Kitty_Kallen_It's_B...,non-prog,non-prog,0.0276
2006_Kanye_West_Gold_Digger,non-prog,non-prog,0.008
05 Homewrecker,non-prog,non-prog,0.0022
07 - While The Earth Sleeps (feat Peter ...,non-prog,non-prog,0.0013
Charli_XCX_Speed_Drive_Barbie,non-prog,non-prog,0.0008
16 - Madhuban Mein Radhika Nache Re (Koh...,non-prog,non-prog,0.0053
04 Still D.R.E. (Feat. Snoop Dogg),non-prog,non-prog,0.0077
08 - Xoomij,non-prog,non-prog,0.1204
06 Californication,non-prog,non-prog,0.0073
1998_Celine_Dion_My_Heart_Will_Go_On,non-prog,non-prog,0.0135
Playboi_Carti_Rockstar_Made,non-prog,non-prog,0.0162
05-Flourescent Adolescent,non-prog,non-prog,0.0926
11 - Inoculate the Innocuous,non-prog,non-prog,0.0493
1963_Peter_Paul_And_Mary_Puff_The_Magic_...,non-prog,non-prog,0.0039
01_Pulcinella_1st_scene_Overture,non-prog,non-prog,0.1152
07 Guy's Eyes,non-prog,non-prog,0.0167
A Tribe Called Quest - Midnight Marauder...,non-prog,non-prog,0.0012
04-Invisible Limits,non-prog,non-prog,0.1013
03 Horns Surrounding Me,non-prog,non-prog,0.1024
Tame_Impala_01_Let_It_Happen,non-prog,non-prog,0.008
Khalil_Fong_Love_in_this_world,non-prog,non-prog,0.0014
David-Guetta-Ft.-Sia---Titanium-(Instrum...,non-prog,non-prog,0.027
09_Jewel Of The Summertime,non-prog,non-prog,0.0111
08 Behind Blue Eyes,non-prog,non-prog,0.0606
07 - You Really Got Me,non-prog,non-prog,0.046
10 - Jefferson Airplane - Surrealistic P...,non-prog,non-prog,0.044
01 - Loser,non-prog,non-prog,0.0015
06 - Sigur Rós - Sæglópur,non-prog,non-prog,0.0365
13 - Layla,non-prog,non-prog,0.0117
1976_Eagles_Hotel_California,non-prog,non-prog,0.0279
05 - Modern Love (2002 Remastered Versio...,non-prog,non-prog,0.0093
1944_Les_Brown_Twilight_Time,non-prog,non-prog,0.0048
1960_Bryan_Hyland_Itsy_Bitsy,non-prog,non-prog,0.0066
06 - How Soon Is Now_,non-prog,non-prog,0.0039
04 - Ayasofya,non-prog,non-prog,0.0702
05. Violin Concerto in E minor op.64 - I...,non-prog,non-prog,0.0861
01 - Big Chief,non-prog,non-prog,0.0089
rasme-asheghi,non-prog,non-prog,0.0053
12_Toxicity,non-prog,non-prog,0.0073
07 Eight Miles High,non-prog,non-prog,0.1655
1989_Milli_Vanilli_Girl_You_Know_It's_Tr...,non-prog,non-prog,0.0167
06 - De Música Ligera (Remasterizado 200...,non-prog,non-prog,0.0424
1941_Glenn_Miller_Chatanooga_Choo_Choo,non-prog,non-prog,0.0001
Little_Simz_Woman,non-prog,non-prog,0.0097
04 - Devil's Advocate _ Bambodansarna,non-prog,non-prog,0.0087
07. Black Hole Sun,non-prog,non-prog,0.0105
03 Julianna Barwick - One Half,non-prog,non-prog,0.0788
Pink_Sweat_Icy,non-prog,non-prog,0.014
1991_Mariah_Carey_Someday,non-prog,non-prog,0.0052
09 - Zum,non-prog,non-prog,0.0204
11 - Lonely People,non-prog,non-prog,0.0218
O_Re_Piya_Rahat Fateh Ali Khan_ Salim-Su...,non-prog,non-prog,0.0113
11-zao-a_last_time_for_everything,non-prog,non-prog,0.0049
"Daft Punk - 04 - Harder, Better, Faster,...",non-prog,non-prog,0.0473
1973_Diana_Ross_Touch_Me_In_The_Morning,non-prog,non-prog,0.0437
1981_Kim_Carnes_Bette_Davis_Eyes,non-prog,non-prog,0.0006
Russian_2,non-prog,non-prog,0.0016
1930_Josephine_Baker_J`ai_Deux_Amours,non-prog,non-prog,0.0667
05-lana_del_rey-doin_time,non-prog,non-prog,0.0094
1969_Neil_Diamond_Sweet_Caroline,non-prog,non-prog,0.0326
Ali Farka Toure with Ry Cooder - Talking...,non-prog,non-prog,0.0079
08 All the Small Things,non-prog,non-prog,0.0498
Cardi_B_WAP,non-prog,non-prog,0.024
03 Space Song,non-prog,non-prog,0.0128
2001_Train_Drops_Of_Jupiter,non-prog,non-prog,0.0146
1940_Tommy_Dorsey_I'll_Never_Smile_Again,non-prog,non-prog,0.0068
Run_The_Jewels_Yankee_and_the_Brave,non-prog,non-prog,0.1277
01 - Tiempo Al Tiempo,non-prog,non-prog,0.0029
06 - Disarm,non-prog,non-prog,0.0103
23-The-Weeknd---I-Feel-It-Coming-(Feat-D...,non-prog,non-prog,0.0234
1956_Elvis_Presley_Heartbreak_Hotel,non-prog,non-prog,0.0028
1990_Michael_Bolton_How_Am_I_Supposed_To...,non-prog,non-prog,0.0274
Lorde-Green-Light,non-prog,non-prog,0.016
Imagine-Dragons---Believer,non-prog,non-prog,0.0049
1994_Ace_Of_Base_All_That_She_Wants,non-prog,non-prog,0.0474
Bad_Bunny_Si_Veo_A_Tu_Mama,non-prog,non-prog,0.0315
2020_BTS_Dynamite,non-prog,non-prog,0.0035
03. Rag Doll,non-prog,non-prog,0.0687
1948_Peggy_Lee_Manana,non-prog,non-prog,0.0069
Beyonce_Cuff_It,non-prog,non-prog,0.0007
03_Losfer Words (Big 'Orra),non-prog,non-prog,0.0163
1999_Britney_Spears_...Baby_One_More_Tim...,non-prog,non-prog,0.0162
2003_Evanescence_Bring_Me_To_Life,non-prog,non-prog,0.0819
08-love_to_love_320_lame_cbr,non-prog,non-prog,0.0927
04 - Condor Pasa,non-prog,non-prog,0.002
1966_The_Rolling_Stones_Paint_It_Black,non-prog,non-prog,0.036
7 - The Hurt Inside,non-prog,non-prog,0.0968
1964_The_Beatles_I_Want_To_Hold_Your_Han...,non-prog,non-prog,0.1401
Ed-Sheeran---Shape-of-You,non-prog,non-prog,0.0028
1952_Vera_Lynn_Auf_Wiederseh`n_Sweethear...,non-prog,non-prog,0.0051
Golden Earring - Radar Love,non-prog,non-prog,0.0264
Chinna Chinna Aasai - ROJA,non-prog,non-prog,0.0475
11 Better Man,non-prog,non-prog,0.062
1996_Alanis_Morissette_Ironic,non-prog,non-prog,0.024
06 - Sweet Dreams (Are Made Of This),non-prog,non-prog,0.0174
01 - amy winehouse - rehab,non-prog,non-prog,0.055
04 - Interstate Love Song,non-prog,non-prog,0.0063
1997_The_Verve_Bittersweet_Symphony,non-prog,non-prog,0.0623
02 - Petrichrist,non-prog,non-prog,0.0064
101-tom_petty_and_the_heartbreakers-refu...,non-prog,non-prog,0.0043
2018_Drake_God's_Plan,non-prog,non-prog,0.0552
2021_Silk_Sonic_Leave_the_Door_Open,non-prog,non-prog,0.0516
05-shock_the_monkey_320_lame_cbr,non-prog,non-prog,0.0066
12 - Round And Round [12_ Version],non-prog,non-prog,0.0279
1982_Foreigner_Waiting_For_A_Girl_Like_Y...,non-prog,non-prog,0.012
08 I Could Have Danced All Night,non-prog,non-prog,0.0088
Ursine Vulpine ft Annaca   Wicked Game (...,non-prog,non-prog,0.0338
1961_Lawrence_Welk_Calcutta,non-prog,non-prog,0.0056
04-deacon_blues_320_lame_cbr,non-prog,non-prog,0.0011
05-Tjolky [Тьолки],non-prog,non-prog,0.0174
04 - Piano Concerto No. 2 - 1. Allegro,non-prog,non-prog,0.027
01-blueprint_320_lame_cbr,non-prog,non-prog,0.0025
03-House Of The Rising Sun,non-prog,non-prog,0.0047
1985_Wham_Careless_Whisper,non-prog,non-prog,0.0437
09 I'm Just a Singer (In a Rock and Roll...,non-prog,non-prog,0.1866
04 - A Lovely Night,non-prog,non-prog,0.0179
1950_Nat_King_Cole_Mona_Lisa,non-prog,non-prog,0.0138
01 Machu Picchu,non-prog,non-prog,0.0947
1986_Mr._Mister_Broken_Wings,non-prog,non-prog,0.0011
The Neighbourhood - Wiped Out,non-prog,non-prog,0.0011
01 - My Spirit Will Go On,non-prog,non-prog,0.0057
06 Naima,non-prog,non-prog,0.0485
1988_INXS_Need_You_Tonight,non-prog,non-prog,0.0097
3. My Beautiful Dark Twisted Fantasy - P...,non-prog,non-prog,0.0376
2000_Sting_Desert_Rose,non-prog,non-prog,0.0174
20 - Thelonious Monk - 'Round Midnight,non-prog,non-prog,0.003
03_YYZ_Rush_Moving_Pictures_Deluxe_Editi...,prog,prog,0.9241
101 21st Century Schizoid Man,prog,prog,0.9439
01. Vert,prog,prog,0.8248
02. The Road Of Bones,prog,prog,0.9153
03_Anesthetize,prog,prog,0.7681
07_The_Night_Nights_in_White_Satin,prog,prog,0.9131
05 - Vivaldi,prog,prog,0.9206
04 Operation- Mindcrime,prog,prog,0.9664
01.A passion play 1,prog,prog,0.8902
5 A Sprinkling Of Clouds,prog,prog,0.9426
06 - Scene Four  Beyond This Life,prog,prog,0.8688
08. Guardian,prog,prog,0.8632
04. Second Life Syndrome,prog,prog,0.8686
01_Genesis_Watcher of the Skies,prog,prog,0.9256
06-king_crimson-larks_tounges_in_aspic_(...,prog,prog,0.6778
02 In a Silent Way...It's About that Tim...,prog,prog,0.9613
4-Song Of Scheherazade,prog,prog,0.8394
01. Hallogallo,prog,prog,0.9907
01. The Light,prog,prog,0.787
5  The architect,prog,prog,0.8445
01_A_Change_of_Seasons_I_Sunrise_II_Inno...,prog,prog,0.8559
4 Foxlight,prog,prog,0.8118
01 - UFO,prog,prog,0.9265
01 - Song Within A Song,prog,prog,0.8902
05_The_Afternoon_a_Afternoon_b_Evening,prog,prog,0.7306
06 - Echoes,prog,prog,0.9274
Steve_Hackett_The_Return_of_the_Giant_Ho...,prog,prog,0.907
01-Sospesi Nell'Incredibile,prog,prog,0.9591
03 - Halleluwah,prog,prog,0.9042
07 - Zartlicher Abschied,prog,prog,0.8288
05_Arriving Somewhere but Not Here,prog,prog,0.9209
05. When the Water Breaks,prog,prog,0.8992
01_Yours Is No Disgrace,prog,prog,0.9726
01_-_ace_of_wands_320_lame_cbr,prog,prog,0.9291
05 - Starless,prog,prog,0.931
08_-_opeth_-_blackwater park_-_blackwate...,prog,prog,0.9717
03Uriah Heep - July Morning,prog,prog,0.8983
Kansas_08_Magnum_Opus,prog,prog,0.9091
"01-The Bryden 2-Step (For Amphibians), P...",prog,prog,0.913
101-elp-tarkus,prog,prog,0.9493
01. The Same River,prog,prog,0.824
Caravan_The_Love_In_Your_Eye,prog,prog,0.7814
Thick As A Brick,prog,prog,0.9368
05_Schism,prog,prog,0.9089
01-Hocus Pocus,prog,prog,0.9647
04Billy Cobham - Stratus,prog,prog,0.9639
01 - When the Heart Rules the Mind,prog,prog,0.8564
205 The Court Of The Crimson King,prog,prog,0.9223
06 Mekanik Kommandoh,prog,prog,0.9738
01. Hazard Profile Part One,prog,prog,0.9753
Opeth - The Moor,prog,prog,0.9469
06 Megalyth,prog,prog,0.9911
06 Forgotten Sons,prog,prog,0.7911
105-emerson_lake_and_palmer-karn_evil_9_...,prog,prog,0.994
01 Script For A Jester's Tear,prog,prog,0.8122
01 Jordrok,prog,prog,0.8984
04 - The River Under,prog,prog,0.9412
01 Close to the Edge I. The Solid Time o...,prog,prog,0.9309
05 Red Shift,prog,prog,0.8871
04_La_Villa_Strangiato_Rush_Hemispheres_...,prog,prog,0.9055
04 The Sleepwalkers,prog,prog,0.9176
07 A Louse Is Not A Home,prog,prog,0.8431
01_2112_I_Overture_II_Temples_of_Syrinx_...,prog,prog,0.8792
05 - Fatal Tragedy,prog,prog,0.8397
02 Willie The Pimp,prog,prog,0.9363
09 - Headlong Flight,prog,prog,0.8397
01 - Roundabout,prog,prog,0.9808
05-Nine Feet Underground,prog,prog,0.755
01_Shine On You Crazy Diamond I,prog,prog,0.815
04. The Czar I. Usurper - II. Escape - I...,prog,prog,0.9089
03_Time,prog,prog,0.8077
01 - Phaedra,prog,prog,0.9726
03. Omen,prog,prog,0.903
01-The runaway,prog,prog,0.823
06. Anekdoten - Our Days Are Numbered,prog,prog,0.9558
01_Genesis_The Musical Box,prog,prog,0.9718
01 Meeting of the Spirits,prog,prog,0.9227
04 Black Rose Immortal,prog,prog,0.9366
02_Dogs,prog,prog,0.7898
-04- Knots,prog,prog,0.8568
The Flower Kings - 1997 Stardust We Are ...,prog,prog,0.9521
11 Bohemian Rhapsody,prog,prog,0.6252
01Al Di Meola - Flight over Rio,prog,prog,0.8132
02. Bleed (live),prog,prog,0.8971
08 - Kingdom Of Dreams,prog,prog,0.9143
13 - A Day in the Life,prog,prog,0.8547
01-genesis-dancing_with_the_moonlit_knig...,prog,prog,0.8046
01_-_the_revealing_science_of_god_-_danc...,prog,prog,0.9599
06 - Ultimo Entardecer,prog,prog,0.967
05 Soup,prog,prog,0.8204
08 - White Walls,prog,prog,0.9134
MIKE OLDFIELD - Part One (Tubular Bells ...,prog,prog,0.9132
08 - The Divine Wings Of Tragedy,prog,prog,0.8946
01 The Gates Of Delirium,prog,prog,0.9639
12 - The Garden,prog,prog,0.9382
08 - Lady Fantasy,prog,prog,0.9702
01-hymn_of_the_seventh_galaxy_320_lame_c...,prog,prog,0.9687
L'evoluzione,prog,prog,0.8147
01 - School,prog,prog,0.8967
01 - Luminol,prog,prog,0.9291
02 Can You Understand,prog,prog,0.7976
13 Aenema,prog,prog,0.7793
06_Genesis_Supper's Ready,prog,prog,0.9013
Appena un poco,prog,prog,0.8052
09 - Ice (Remastered 2023),prog,prog,0.9768
01 Peaches En Regalia,prog,prog,0.8999
03 - Suenos De Maniqui,prog,prog,0.7663
Kraftwerk - 01 - Autobahn,prog,prog,0.8597
Emerson_Lake_Palmer_Peter_Gunn,prog,prog,0.9751
Eloy - Poseidon's Creation,prog,prog,0.9462
01 - Songs From The Wood (2003 Digital R...,prog,prog,0.8863
(Disc 2) 01 - Telepathic Minds,prog,prog,0.8846
08-This Strange Engine,prog,prog,0.9122
103 Moon In June,prog,prog,0.9781
04-Stranger In Your Soul_Resampled,prog,prog,0.8957
Ne_Obliviscaris_And_Plague_Flowers_The_K...,prog,prog,0.8154
12-animals_as_leaders-song_of_solomon,prog,prog,0.9591
01-Zarathustra,prog,prog,0.9128
